50001136,4,"Frühlingsfeier, Die",Die Frühlingsfeier,,
50001138,4,"Leben, Das",Das Leben,,
50001150,4,"Vendangeuses, Les",Les Vendangeuses,1,
50001151,4,"Fauvages, Les",Les Fauvages,1,
50001152,3,"Badine, La",La Badine,1,
50001153,3,"Sicilienne, La",La Sicilienne,1,
50001154,4,"Abeilles, Les",Les Abeilles,1,
50001155,3,"Nanette, La",La Nanette,,
50001156,3,"Manon, La",La Manon,,
50001158,3,"Babet, La",La Babet,,
50001159,4,"Papillons, Les",Les Papillons,1,
50001160,3,"Marche des Gris-vêtus, La",La Marche des Gris-vêtus,,La marche des gris-vêtus
50001161,4,"Pèlerines, Les",Les Pèlerines,1,
50001162,3,"Réveil-matin, Le",Le Réveil-matin,1,
50001163,4,"Ondes, Les",Les Ondes,1,
50001164,3,"Voluptueuse, La",La Voluptueuse,1,
50001165,4,"Caractères de la guerre, Les",Les Caractères de la guerre,1,
50001166,4,"Cyclopes, Les",Les Cyclopes,1,
50001168,4,"Bergeries, Les",Les Bergeries,1,
50001172,4,"Tricotets, Les",Les Tricotets,1,
50001173,3,"Gabriéle, La",La Gabriéle,,La Gabrièle
50001177,3,"Villageoise, La",La Villageoise,1,
50001178,4,"Matelots, Les",Les Matelots,1,
50001179,3,"Rappel des oiseaux, Le",Le Rappel des oiseaux,1,
50001180,3,"Commère, La",La Commère,1,
50001181,3,"Fringante, La",La Fringante,1,
50001182,3,"Moucheron, Le",Le Moucheron,1,
50001183,4,"Moissonneurs, Les",Les Moissonneurs,1,
50001184,3,"Zénobie, La",La Zénobie,,
50001186,3,"Fileuse, La",La Fileuse,1,
50001188,4,"Délices, Les",Les Délices,1,
50001190,4,"Petits ages, Les",Les Petits ages,1,
50001191,4,"Grâces naturéles, Les",Les Grâces naturéles,,Les grâce naturèles
50001194,3,"Plaintive Philis, La",La Plaintive Philis,1,
50001207,3,"Grande walze de Wienne, La",La Grande walze de Wienne,1,
50001211,4,"Ureltern im ersten Gewitter, Die",Die Ureltern im ersten Gewitter,,
50001221,4,"Pilgrime auf Golgatha, Die",Die Pilgrime auf Golgatha,,
50001222,4,"Divinités de la mer, Les",Les Divinités de la mer,1,
50001224,3,"Tributo campestre, Il",Il Tributo campestre,1,
50001230,4,"Schlacht bei Morgarten, Die",Die Schlacht bei Morgarten,,
50001238,4,"Unterbrochene Opferfest, Das",Das Unterbrochene Opferfest,1,
50001239,3,"Sacrifizio interrotto, Il",Il Sacrifizio interrotto,1,
50001244,4,"Orazi e i Curiazi, Gli",Gli Orazi e i Curiazi,,
50001273,3,"Siège de Leucate, Le",Le Siège de Leucate,1,
50001274,2,"Heroine Languedocienne, L'",L'Heroine Languedocienne,,L'héroine languedocienne
50001275,3,"Matrimonio segreto, Il",Il Matrimonio segreto,1,
