34407	Salve virgo immaculata	50006397	Salve virgo immaculata
34408	Ave clementissima Maria	50006398	Ave clementissima Maria
34409	Exsurge cor meum	50006399	Exsurge cor meum
34415	Fulgebunt justi sicut lilium	50006402	Fulgebunt justi sicut lilium
34416	Omnes sanctes	50006403	Omnes sanctes
34419	O Jesu delicio tuo	50006407	O Jesu delicio tuo
34420	O mira Dei benignitas	50006408	O mira Dei benignitas
34421	O mellee o dulcis Jesule	50006409	O mellee o dulcis Jesule
34422	Jesu care te laudare	50006410	Jesu care te laudare
34424	Satis est Domine	50006411	Satis est Domine
34426	Quando tandem Jesu care	50006414	Quando tandem Jesu care
34428	O Domine accipe me	50006415	O Domine accipe me
34430	Euge anima	50006417	Euge anima
34431	Eu pellicani pectora	50006418	Eu pellicani pectora
34434	Pastores	50006419	Pastores
34435	Festina propera	50006420	Festina propera
34436	Per astras mundi tenebras	50006421	Per astras mundi tenebras
34437	O Maria	50006422	O Maria
34439	O mea mihi viscera	50002277	O mea mihi viscera
34441	O Jesu mi dilecte	50000806	O Jesu mi dilecte
34442	O sponse mi	50006426	O sponse mi
34444	O fervens Jesu caritas	50006428	O fervens Jesu caritas
34453	O dulcis amor	50006431	O dulcis amor
34454	Fidelis anima	50006432	Fidelis anima
34455	Haec immens optata	50006433	Haec immens optata
34456	Jesu flos matris virginis	50005481	Jesu flos matris virginis
34462	Hoc est domus Domini	50006436	Hoc est domus Domini
34466	O Maria mater Dei gloria	50006439	O Maria mater Dei gloria
34467	De dilecta	50006440	De dilecta
34482	Fungi sacerdotio et habere laudem	50006446	Fungi sacerdotio et habere laudem
34484	Surge Domine	50006447	Surge Domine
34485	Posui adjutorium	50006448	Posui adjutorium
34492	Obaudite audite me divini fructus	50006453	Obaudite audite me divini fructus
34493	Jesu corona virginis	50006454	Jesu corona virginis
34495	Simile est regnum caelorum	50006395	Simile est regnum caelorum
34504	Victoria et gloria	50006463	Victoria et gloria
34506	Christi discipuli	50006465	Christi discipuli
34508	Petre claviger caelorum	50006467	Petre claviger caelorum
34510	Tua festa tua gesta	50004907	Tua festa tua gesta
34512	Optata mundi gaudio	50006469	Optata mundi gaudio
34513	Jesu matrem exaltasti	50006470	Jesu matrem exaltasti
34514	Jesu limbum spoliasti	50006471	Jesu limbum spoliasti
34531	Chori laeti concinite	50006483	Chori laeti concinite
34534	Ad festa venite	50006484	Ad festa venite
34535	Gaudete in Domino sancti ejus	50006485	Gaudete in Domino sancti ejus
34536	Ad plausus ad tonos	50006486	Ad plausus ad tonos
34537	Adeste volate	50002177	Adeste volate
34539	Plaudite caelites	50006488	Plaudite caelites
34542	Exsultate plausus date	50006490	Exsultate plausus date
34548	Deo laeti	50006494	Deo laeti
34549	Pia corda	50006495	Pia corda
34555	Paranymphi caelestes	50006501	Paranymphi caelestes
34557	Eia exsultate	50006502	Eia exsultate
34558	Caeli caelorum plausus sonant	50006503	Caeli caelorum plausus sonant
34561	Ave bella maris stella	50006505	Ave bella maris stella
34564	Quid te tuis praeconiis	50008709	Quid te tuis praeconiis
34565	Te lilio virginitas	50008710	Te lilio virginitas
34571	In te Domine	50006829	In te Domine
34574	Ecce confessor magnus	50000173	Ecce confessor magnus
34575	Convolate gentes	50006765	Convolate gentes
34576	Lux ecce surgit	50006766	Lux ecce surgit
34577	O felix galli	50006767	O felix galli
34579	Eia hodie	50006770	Eia hodie
34582	Conjugium tibi sit blandum	50006795	Conjugium tibi sit blandum
34584	Ah sponse mi dilecte veni	50000763	Ah sponse mi dilecte veni
34587	Non possum nec volo te	50002178	Non possum nec volo te
34597	Surrexit Christus tumulo	50002186	Surrexit Christus tumulo
34609	Caelestis sponsi	50021191	Caelestis sponsi
34613	Huc fideles convolate	50009627	Huc fideles convolate
34657	Venerabilis barba capucinorum	50000171	Venerabilis barba capucinorum
34712	O Jesu qui cerno	50003632	O Jesu qui cerno
34713	O Jesu amor mi	50003634	O Jesu amor mi
34714	Quis non amantem	50003635	Quis non amantem
34715	Maria dum spiro	50003636	Maria dum spiro
34716	Triumphe plaudant Maria	50003638	Triumphe plaudant Maria
34781	Deum omnes agnoscite	50007867	Deum omnes agnoscite
34806	Diffusa est gloria	50003796	Diffusa est gloria
34813	Deo in altissimis gloria	50001544	Deo in altissimis gloria
34817	Dum Wilibaldi gloria	50001575	Dum Wilibaldi gloria
34834	Eia caeli turbae alatae	50002392	Eia caeli turbae alatae
34865	In Deo laudabo verbum	50018007	In Deo laudabo verbum
34868	In te eripiar	50001670	In te eripiar
34877	Domine non confundar	50000904	Domine non confundar
34881	Age pugnam ad para	50001736	Age pugnam ad para
34883	Elegit te Dominus	50007629	Elegit te Dominus
34891	Non oves non boves	50001754	Non oves non boves
34893	Qui oraclo Dei lectus	50016821	Qui oraclo Dei lectus
34894	Qui sunt isti ut nubes	50001758	Qui sunt isti ut nubes
34898	Nihil in mundo est amoenum	50001777	Nihil in mundo est amoenum
34899	Quasi navis in procella	50001782	Quasi navis in procella
34901	Angelico dignaris sermone	50001815	Angelico dignaris sermone
34903	Venite ad mensam	50007633	Venite ad mensam
34904	Laudetur	50007634	Laudetur
34908	Magne pater Augustine	50021140	Magne pater Augustine
34914	Et in unum Dominum	50000342	Et in unum Dominum
34933	Hic est vere martyr	50005375	Hic est vere martyr
34938	Maria mater gratiae	50018050	Maria mater gratiae
34951	Magno Ignatio	50003639	Magno Ignatio
34953	Stuporis o die	50003641	Stuporis o die
34954	Resonent in laudibus	50003642	Resonent in laudibus
34955	Sanete amor paraelite	50003643	Sanete amor paraelite
34956	Adesto fidelis	50025219	Adesto fidelis
34957	Memorare novissima	50003644	Memorare novissima
34976	Adoramus te	50007849	Adoramus te
35003	O virgo Maria	50001881	O virgo Maria
35006	Jubilate universa	50007635	Jubilate universa
35027	Regis pudicae virgines	50001910	Regis pudicae virgines
35030	Lauream certaminis	50001911	Lauream certaminis
35041	Veni caeli in sorte amoena	50001899	Veni caeli in sorte amoena
35045	Te solum quaero	50002508	Te solum quaero
