50001123	30001197		D-KARs	Stadtbibliothek
50001138	30001214		D-LÖ	Pfarrarchiv
50001171	30001251		D-PÖ	Kreiskirchenamt, Archiv
50001181	30001261		D-RÖ	Pfarrbibliothek
50001182	30001262		D-RÖM	Evangelisch-lutherisches Pfarramt, Pfarrarchiv
50001188	30001268		D-SAschönheit	Privatbibliothek KMD Schönheit
50001226	30001307		D-WERgroßmann	Privatbibliothek Hans Großmann
50001393	30001482		F-Pgérard	Collection Yves Gérard
50001595	30001690		H-Efkö	Foszékesegyhàzi Könyvtàr
50001605	30001700		H-KŐm	Jurisich Múzeum
50001726	30001825		I-Mdoná	Biblioteca privata Mariangela Doná
50006222	30002006		J-Tmam	Musashino Academia Musicae
50006130	30002016		N-Ouh	Universitetsbiblioteket, Bibliotek for humaniora og samfunnsvitenskap
50001963	30002084		PL-KÓ	Biblioteka Kórnicka Polskiej Akademii Nauk
50001966	30002087		PL-ŁA	Biblioteka Muzeum-Zamku w Łańcucie
50001968	30002089		PL-ŁO	Wyższe Seminarium Duchowne. Biblioteka
50001969	30002090		PL-ŁŹu	Biblioteka Uniwersytetu Łódzkiego, Sekcja Muzykaliów w Oddziale Zbiorów Specjalnych
50001974	30002095		PL-PŁp	Biblioteka im. Zielińskich Towarzystwa Naukowego Płockiego
50002007	30002133		S-GÄ	Vasaskolan, Biblioteket
50002010	30002136		S-HÄ	Länsmuseet-Murberget
50002011	30002137		S-HÖ	Biblioteket
50002016	30002142		S-KÖ	Köpings museum
50002020	30002148		S-Ö	Höskolan i örebro
50002021	30002149		S-ÖS	Jämtlands läns bibliotek
50002393	30002545		HR-KŠf	Franjevački samostan na Košljunu
50002401	30002553		SI-Mš	Škofijski arhiv
50007191	30002614		NULL	Burgerbibliothek
50007760	30002633		NULL	Bibliothek des Frey-Grynäischen Instituts, Basel
50002485	30002641		CH-BUbärtschi	Privatbibliothek Lehrer Alfred Bärtschi
50002493	30002650		CH-RORrüesch	Privatbibliothek Ernst Rüesch
50002567	30002731		D-BDVschöneich	Privatbibliothek Dr. Friedrich Schöneich
50002584	30002749		D-Dölk	Evangelische Kirche im Rheinland, Landeskirchliche Bibliothek
50002594	30002760		D-FöHwölfel	Privatbibliothek K. Wölfel
50002617	30002783		D-LöDameln	Privatbibliothek Dr. Konrad Ameln
50002635	30002801		D-NIDmöckel	Privatsammlung Dieter Möckel
50002654	30002823		D-SCHÖB	Kirchenbibliothek Schönberg
50002655	30002824		D-SLöblankenburg	Privatbibliothek Dr. Walter Blankenburg
50002678	30002849		D-Wök	Bibliothek des Kapuzinerklosters
50002679	30002850		D-Wöi	Pfarrei St. Joseph
50002703	30002875		D-BöLZ	Archiv des Pfarramtes
50002704	30002876		D-BöR	Pfarrarchiv
50002723	30002895		D-GLÖB	Pfarrarchiv
50002734	30002907		D-HMÖ	Archiv der Superintendentur
50002744	30002917		D-LÖD	Pfarrarchiv Oberlödla
50002746	30002919		D-LöTZ	Pfarrarchiv
50002751	30002924		D-MÖB	Pfarrarchiv
50002752	30002925		D-MÖCH	Pfarrarchiv
50002753	30002926		D-MÖR	Pfarrarchiv
50002754	30002927		D-MÖSCH	Pfarrarchiv
50002770	30002943		D-SCHÖ	Kirchenbibliothek St. Johann, Schönebeck-Salzelmen
50002772	30002945		D-SPÖR	Pfarrarchiv
50003034	30003220		TR-Iü	öniversite kütüphanesi
50003081	30003271		D-Löd	Distler Archiv
50003087	30003278		D-SÖNp	Pfarrbibliothek Schönau
50005749	30003402		GR-AOv	Monē Vatopaidiou
50003397	30003595		YU-Bn	Narodna Biblioteka
50003462	30003660		D-Dös	Stadtmuseum
50003468	30003667		D-FöS	Katholisches Stadtpfarramt St. Mang
50003506	30003705		D-SöN	Schloß
50003524	30003723		A-ETgoëss	Privatbibliothek Goëss
50003534	30003733		F-Pbérès	Librairie Pierre Bérès
50003544	30003743		SI-Šk	Kapucinski samostan, Knjižnica
50003546	30003745		D-KÖa	Stadtarchiv
50003561	30003761		D-AÖhk	Heilige Kapelle
50003593	30003795		D-KHÄp	Pfarrarchiv
50003594	30003796		D-KÖDp	Pfarrarchiv
50003606	30003808		D-PÖLp	Evangelisch-lutherisches Pfarramt, Pfarrarchiv
50003607	30003809		D-PÖWp	Pfarrarchiv
50003615	30003817		D-SÖLp	Pfarrarchiv
50003664	30003869		AS-M'āḥ	Medina (=Al-Madīna)
50003683	30003888		IR-Hā	Bibliothèque de Madrisa Aḫond
50003686	30003891		IR-K'ā	Bibliothèque privée de Ḥasan-e-'Aṭifī
50003688	30003893		IR-Māq	Bibliothèque de Astān-e-Quds
50003693	30003898		IR-Qā	Bibliothèque de Astāna Muqaddasa
50003699	30003904		IR-Sḥ	Bibliothèque de Ḥāfiẓīyya
50003708	30003913		IR-Tpṣ	Bibliothèque privée de Mehdī Ṣadrī
50003709	30003914		IR-Tpṭ	Bibliothèque privée de Muḥīt-e-Ṭabāṭabā'ī
50007781	30003952		NULL	Silcher-Museum Schnait i. R.
50003799	30004004		HR-KČ	Opatska riznica sv. Marka
50003820	30004025		HR-ŠIBf	Samostan franjevaca konventualaca
50003838	30004043		HR-Čm	Muzej Medimurja
50003841	30004046		HR-KŽm	Gradski muzej
50003864	30004069		HR-KČm	Gradski muzej
50003904	30004109		SI-PIž	Župnijski arhiv
50003906	30004111		SI-Pž	Župnijski urad Sv. Jurija, Glasbeni arhiv
50003911	30004117		D-Möwl	Westfälisches Landesmuseum für Kunst und Kulturgeschichte
50003921	30004127		S-ÖSa	Landsarkivet i Östersund
50003925	30004131		S-HÄa	Landsarkivet i Härnösand
50003942	30004148		D-DöLs	Stadtbücherei, Nebenstelle - Musikbücherei der Städtischen Musikschule
50003956	30004162		D-Mösb	Stadtbücherei, Musikabteilung
50003974	30004180		D-Wösb	Stadtbücherei, Musikabteilung
50004055	30004261		FIN-Hsä	Suomen äänitearkisto
50004102	30004308		D-Lömh	Musikhochschule, Bibliothek
50004293	30004502		PL-ŁOap	Biblioteka Archiwum Państwowego
50004294	30004503		PL-ŁOk	Biblioteka Kapitulna
50004303	30004512		D-BöC	Niedersächsisches Staatsarchiv
50004304	30004513		SI-Kš	Škofijski arhiv
50004333	30004542		YU-Ba	Srpska Akademija nauka i umetnosti (SANiU), Centralna Biblioteka/Arhiv
50004334	30004543		YU-Bm	Muzej srpske pravoslavne crkve
