"id","ext_id","full_name"
11520,51011520,"Lasso, Ferdinand di"
11534,51011534,"Vannini, Fra Elia [A/I]"
11585,51011585,"Bieling, Franz Ignaz"
11603,51011603,"Braibanzi, Francesco da Lonzano [A/I]"
11645,51011645,"Molitor, Fidel"
11656,51011656,"Nocetti, Flaminio"
11678,51011678,"Petrobelli, Francesco [A/I]"
11702,51011702,"Rogantini, Francesco [A/I]"
11723,51011723,"Schwab, Felician"
11791,51011791,"Bertoli, Giovanni Antonio"
11803,51011803,"Mangoni, Giovanni Antonio [A/I]"
11807,51011807,"Piccioli, Giacomo Antonio [A/I]"
11819,51011819,"Aich, Gottfried"
11837,51011837,"Ala, Giovanni Battista"
11856,51011856,"Cesati, Giovanni Battista [A/I]"
11857,51011857,"Chinelli, Giovanni Battista"
11868,51011868,"Fasolo, Giovanni Battista"
11873,51011873,"Fontana, Giovanni Battista"
11893,51011893,"Martinengo, Giovanni Battista [A/I]"
11900,51011900,"Piazza, Giovanni Battista"
11903,51011903,"Riccio, Giovanni Battista [A/I]"
11913,51011913,"Vacchelli, Giovanni Battista [A/I]"
11917,51011917,"Bachini, Gislamerio"
11938,51011938,"Bondioli, Giacinto"
11949,51011949,"Bruschi, Giulio"
11970,51011970,"Wecker, Georg Caspar"
11992,51011992,"Clerici, Giovanni [A/I]"
12009,51012009,"Rognoni Taeggio, Giovanni Domenico [A/I]"
12010,51012010,"Scipione, Giovanni"
12012,51012012,"De Stefanis, Gaetano"
12026,51012026,"Verlit, Gaspard de"
12037,51012037,"Dore, Ghislain [A/I]"
12060,51012060,"Milanta, Giovanni Francesco"
12061,51012061,"Mognossa, Giovanni Francesco [A/I]"
12094,51012094,"Nivers, Guillaume-Gabriel"
12095,51012095,"Sparacciari, Giovanni Giorgio"
12178,51012178,"Angeleri, Giuseppe Maria"
12216,51012216,"Mengel, Georg [A/I]"
12224,51012224,"Montesardo, Girolamo [A/I]"
12274,51012274,"Pietragrua, Gasparo"
12280,51012280,"Piscator, Georg [A/I]"
12314,51012314,"Sabbatini, Galeazzo"
12318,51012318,"Scarani, Giuseppe [A/I]"
12365,51012365,"Sarti, Giovanni Vincenzo [A/I]"
12378,51012378,"Vintz, Georg"
12456,51012456,"Bildstein, Hieronymus"
12477,51012477,"Albicastro, Henricus"
12556,51012556,"Pfendner, Heinrich"
12591,51012591,"Wernher, Heinrich [A/I]"
12636,51012636,"Ghezzi, Ippolito [A/I]"
12788,51012788,"Banwart, Jakob"
12802,51012802,"Benn, Johann"
12805,51012805,"Berckelaers, Johannes"
12838,51012838,"Demantius, Johannes Christoph"
12909,51012909,"Cocx, Joannes [A/I]"
12953,51012953,"Gouy, Jacques de [A/I]"
13023,51013023,"Regnard, Jean François [A/I]"
13092,51013092,"Rauch, Johann Georg [A/I]"
13108,51013108,"Geisenhof, Johannes [A/I]"
13137,51013137,"Kyburtz, Johann Heinrich [A/I]"
13147,51013147,"Schein, Johann Hermann"
13163,51013163,"Hassler, Jakob"
13174,51013174,"Hildebrand, Johann"
13178,51013178,"Hintze, Jacob [A/I]"
13212,51013212,"Fiocco, Jean-Joseph"
13221,51013221,"Löwe von Eisenach, Johann Jakob"
13231,51013231,"Schnell, Johann Jakob"
13250,51013250,"Bösch, Johann Caspar"
13252,51013252,"Simon, Johann Kaspar"
13329,51013329,"Caesar, Johann Melchior [A/I]"
13334,51013334,"Galley, Johann Michael"
13349,51013349,"Müller, Johann Michael"
13353,51013353,"Rubert, Johann Martin [A/I]"
13355,51013355,"Spiess, Johann Martin [A/I]"
13448,51013448,"Schiffelholz, Johann Paul"
13459,51013459,"Paix, Jacob [A/I]"
13477,51013477,"Philippi, Johannes [A/I]"
13515,51013515,"Regnart, Jacob"
13519,51013519,"Reiner, Jacob"
13538,51013538,"Rosenmüller, Johann"
13563,51013563,"Scheiffelhut, Jacob [A/I]"
13570,51013570,"Schop, Johann"
13601,51013601,"Staden, Johann"
13637,51013637,"Sultzberger, Johann Ulrich [A/I]"
13662,51013662,"Vierdanck, Johann"
13678,51013678,"Simler, Johann Wilhelm"
13686,51013686,"Weichmann, Johann [A/I]"
13690,51013690,"Werlin, Johannes [A/I]"
13746,51013746,"Hagius, Konrad"
13758,51013758,"Neuinger, Konrad [A/I]"
13821,51013821,"Casali, Lodovico"
13866,51013866,"Gallerano, Leandro"
13877,51013877,"Hörnigk, Ludwig [A/I]"
13880,51013880,"Isabella Leonarda"
13886,51013886,"Knöp, Lüder [A/I]"
13892,51013892,"Le Quoynte, Louis [A/I]"
13903,51013903,"Manfredi, Lodovico"
13904,51013904,"Marazzani, Ludovico [A/I]"
13924,51013924,"Penna, Lorenzo [A/I]"
13929,51013929,"Pozzi, Luigi"
13946,51013946,"Royet, Lambertus [A/I]"
13968,51013968,"Plawenn, Leopold von"
14000,51014000,"Le Solitaire [A/I]"
14049,51014049,"Barbarini Lupus, Manfred"
14073,51014073,"Casentini, Marsilio [A/I]"
14123,51014123,"Franck, Melchior"
14156,51014156,"Kraf, Michael"
14177,51014177,"Moser, Maurus [A/I]"
14178,51014178,"Naimon, Martino [A/I]"
14182,51014182,"Neri, Massimiliano"
14198,51014198,"Pesenti, Martino [A/I]"
14227,51014227,"Serra, Michelangelo"
14229,51014229,"Spiegler, Matthias"
14235,51014235,"Teller, Marcus"
14247,51014247,"Uccellini, Marco"
14251,51014251,"Varotto, Michele"
14337,51014337,"Bazzini, Natale"
14352,51014352,"Cuerens, Nicolaus [A/I]"
14358,51014358,"Derosiers, Nicolas [A/I]"
14391,51014391,"Maiscocque, Nicolas [A/I]"
14393,51014393,"Matteis, Nicola"
14406,51014406,"Parisi, Nicodemo"
14448,51014448,"Bartolini, Orindio Gian Maria"
14455,51014455,"Filiberi, Orazio [A/I]"
14467,51014467,"Polidoro, Ortensio"
14489,51014489,"Fiocco, Pietro Antonio"
14518,51014518,"Bottaccio, Paolo [A/I]"
