"id","ext_id","name"
875,51000875,"Reumann, Joachim"
876,51000876,"Bissmarck, Johann"
877,51000877,"Christoph Endter Erben"
878,51000878,"Vicenti, Alessandro"
879,51000879,"Sengenwald, Georg"
880,51000880,"de Potter, Lucas"
881,51000881,"van Eynden, Arnold"
883,51000883,"Phalèse, Pierre - les héritiers de"
884,51000884,"de Potter, Lucas - la veuve de"
885,51000885,"Gertner, Georg Andreas"
886,51000886,"Micheletti, Gioseffo"
887,51000887,"Heurck, Francesco van"
888,51000888,"Randall, P."
889,51000889,"Vaillant, Isaac"
890,51000890,"Phalèse, Magdalène"
891,51000891,"Gardano"
892,51000892,"Bortoli, Camillo"
893,51000893,"Robletti, Giovanni Battista"
894,51000894,"Soldi, Luca Antonio"
895,51000895,"Masotti, Paolo"
896,51000896,"Camagni, Carlo"
897,51000897,"Rolla, Carlo Francesco"
899,51000899,"Cazzati"
900,51000900,"Dozza, Evangelista - gli eredi"
901,51000901,"Benacci, Vittorio - gli eredi"
902,51000902,"Lazzari, Pelegrino"
903,51000903,"Cooke, Benjamin"
905,51000905,"Ribou, Pierre"
906,51000906,"Meares, Richard"
907,51000907,"Hare, John"
908,51000908,"Mutij, Giovanni Angelo"
909,51000909,"Vitaliani, Antonio"
910,51000910,"Young, John"
911,51000911,"Cullen, John"
912,51000912,"Venice, Ducal Chapel of St. Mark's"
914,51000914,"Dorico, Valerio & Lodovico fratelli"
919,51000919,"Gardano, Angelo and brothers"
920,51000920,"Parstorffer, Paul "
921,51000921,"Walther, Johann Gottfried"
923,51000923,"Fei, Andrea"
924,51000924,"Venice: In Caenobio Sancti Spiritus"
925,51000925,"Salvadori, Angelo"
926,51000926,"Formica, Mathias"
927,51000927,"Gasparo Pietrasanta"
929,51000929,"Göbel, Theophil - heirs"
930,51000930,"Rosati, Fortuniano"
